candidate,候选人
independent,中立派
independent,无党派
independent,独立的
democrat,民主主义者
delegate,代表
autocrat,独裁者
gentry,名流
gentry,绅士
aristocrat,贵族
envoy,大使
envoy,使者
conservative,保守党人
conservative,保守的
monarch,帝王
monarch,君主
civilian,平民
throng,人群
humanitarian,人道主义者
humanitarian,人道主义
feminist,女权主义者
advocate,拥护者
advocate,辩护者
traitor,背叛者
traitor,叛徒
veteran,老手
veteran,老将
figurehead,有名无实的
figurehead,傀儡
celebrity,名人
rival,竞争的
rival,对手
opponent,敌对的
opponent,对手
foe,敌人
malcontent,不满者
skeptic,怀疑论者
alumni,校友
avant-garde,前哨部队
avant-garde,前卫
precursor,先取
zealot,狂热者
zealot,独断论者
inferior,晚辈
inferior,下级
beneficiary,受益人
couple,一对（夫妇）
spouse,配偶
spectator,旁观者
spectator,观众
eyewitness,目击者
egoist,自我主义者
egoist,利己主义者
addict,瘾君子
rebel,背叛者
rebel,反叛
exile,流亡者
exile,流亡
barbarian,野蛮人
burglar,窃贼
bandit,强盗
assassin,刺客
champion,冠军
disciple,门徒
disciple,弟子
faithful,信徒
faithful,忠实
adherent,追随者
fanatic,盲信者
fanatic,狂热的
cult,崇拜者
cult,礼拜
believer,信徒
novice,学徒
novice,初学者
idol,偶像
bachelor,学士学位
bachelor,单身汉
inhabitant,居民
resident,居民
exponent,支持者
exponent,指数
recipient,接受者
audience,观众
company,伙伴
mortal,凡人
benefactor,捐助人
benefactor,恩人
personnel,员工
personnel,人员
donor,捐赠者
miser,守财奴
miser,吝啬鬼
tenant,房客
tenant,承租人
apprentice,学徒
superintendent,监督人
superintendent,管理人
arbitrator,仲裁人
debtor,债务人
employee,雇员
employer,雇主
consumer,消费者
proprietor,业主
proprietor,所有者
deputy,代理人
proxy,代理人
illiterate,文盲
moron,白痴
idiocy,白痴
idiot,白痴
orator,演说者
trapper,捕集器
trapper,捕兽者
attendant,服务员
attendant,侍者
commentator,评论员
commander,指挥官
staff,全体员工
principal,校长
entrepreneur,主办人
entrepreneur,企业家
connoisseur,鉴赏家
connoisseur,行家
congressman,国会议员
attorney,律师
philanthropist,慈善家
critic,批评家
critic,评论家
ecologist,生态学家
recluse,隐士
hermit,隐士
physician,医生
censor,审查
censor,检查员
biographer,传记作者
mechanic,机修工
mechanic,技工
mechanic,机械师
inventor,发明者
imagist,意象派诗人
imagist,意象派
imagist,意想主义
artist,艺术家
anthropologist,人类学家
meteorologist,气象学家
pilot,飞行员
paleoanthropologist,古人类学家
archeologist,考古学家
treasurer,财务官
treasurer,出纳员
faculty,教职员工
educator,教育家
geologist,地质学家
geographer,地理学家
scout,侦察员
choreographer,舞蹈编导
choreographer,编舞家
botanist,植物学家
spaceman,太空人
astronomer,天文学家
astronaut,宇航员
mathematician,数学家
sculptor,雕塑家
satirist,讽刺作家
athlete,运动员
auditor,旁听者
auditor,审计师
auditor,稽核员
clergy,神职人员
clergy,教士
operator,接线员
playwright,剧作家
aviator,飞行员
crew,船员
counsel,律师
counsel,法律顾问