military,军事的
naval,海军
tactics,战术
mandate,命令
mandate,要求
morale,民心
morale,士气
besiege,围困
beset,包围
envelop,包围
siege,围困
siege,围攻
siege,围城
expedition,远征
repulse,击退
onset,进攻
absorb,吞并
extinguish,消灭
exterminate,剿灭
assault,突击
assault,进攻
invade,侵略
invade,侵入
despoil,夺取
encroach,蚕食
encroach,侵占
charge,冲锋
raid,袭击
squad,小分队
array,队列
array,排列
recruit,征募
recruit,征兵
enlist,征募
enlist,招募
armament,兵力
armament,军力
corps,军团
corps,兵团
armor,武器
armor,装甲
armor,盔甲
dagger,短剑
hatchet,短柄斧
fortress,堡垒
fortress,要塞
fort,堡垒
scout,侦察
disarming,消除敌意的
disarm,消除（敌意）
disarm,缴械
dissimulate,假装
dissimulate,掩饰
cipher,密码
cipher,暗号
clandestine,秘密的
confidential,机密的