trough,饲料槽
trough,水槽
trough,槽
ranch,经营牧场
ranch,大农场
plantation,人工林
plantation,种植园
plantation,耕地
pigsty,脏房子
pigsty,猪圈
pigpen,猪圈
pasture,草场
pasture,牧场
orchard,果树
orchard,果园
sheepfold,羊圈
seedbed,苗床
greenhouse,温室
granary,谷仓
cowshed,牛舍
cowshed,牛棚
barn,畜棚
barn,谷仓
conservatory,温室
sow,使密布
sow,撒播
sow,播种
sow,大母猪
fowl,禽肉
poultry,家禽
fowl,家禽
cattle,黄牛
buffalo,水牛
livestock,牲畜
livestock,家畜
sorghum,高粱
weed,铲除
weed,除草
weed,杂草
weed,野草
vegatable,植物的
vegatable,蔬菜
haystack,干草堆
haystack,草垛
hay,干草
fodder,草料
fodder,饲料
eggplant,茄子
garlic,大蒜
cotton,棉布
cotton,棉花
squash,南瓜
tractor,拖拉机
silt,泥沙
silt,煤粉
silt,残渣
silt,淤泥
ridge,翻土作垄
ridge,成脊状延伸
ridge,起皱
pesticide,农药
irrigate,修水利
irrigate,灌溉
insecticide,杀虫剂
hydroponics,水栽法
hydroponics,水耕法
horticulture,园艺
manure,施肥
cultivation,养殖
cultivate,培育
cultivate,耕种
graze,放牧
husbandry,管理
husbandry,耕种
fertilizer,肥料
indigenous,当地的
indigenous,土产的
arable,适于耕种的
aquaculture,水产养殖
agricultural,农艺的
agricultural,农业的
agriculture,农学
agriculture,农艺
agriculture,农业
harvest,收获
fertile,多产的
fertile,肥沃的
rich,富有
prolific,多产的