subject,题目
subject,主题
subject,试验对象
spiritual,精神的
spiritual,心灵的
mental,精神的
mental,智力的
mental,心理
nutrition,营养学
nutrition,营养
malnourished,营养失调的
malnourished,营养不良的
sustenance,营养物
physical,物质的
physical,身体的
physical,物理
sanitation,卫生设施
sanitation,卫生
hygiene,卫生
condition,健康情形
condition,条件
condition,状态
healthful,健康的
healthful,有益健康的
anatomy,剖析
anatomy,解剖学
clinic,门诊所
sterile,消过毒的
dissect,解剖
prescription,药方
treatment,治疗
remedy,治疗
remedy,治疗法
remedy,药物
remedy,补救
heal,痊愈
heal,使和解
heal,治愈
inject,注射
inject,注入
diagnosis,诊断
diagnose,分析
diagnose,诊断
survive,活下来
survive,幸存于...
intoxicate,使中毒
intoxicate,醉人
fester,使化脓
bruise,瘀伤
bruise,打伤
relapse,回复
relapse,复发
recur,再次发生
recur,复发
tingle,哆嗦
tingle,耳鸣
tingle,刺痛
bleed,流血
fracture,骨折
symptom,征兆
symptom,征候
symptom,症状
gash,很深的伤口
corpse,尸体
malady,疾病
malady,弊病
susceptible,易受感染的
fragile,易碎的
fragile,体质弱的
unconscious,无意识的
numb,麻木的
morbid,痛苦
morbid,不健康的
morbid,病态的
invalid,无效的
invalid,有病的
feverish,发烧的
acute,急性的
contract,感染
infectious,感染性的
infectious,传染的
infect,传染
infect,感染
catching,迷人的
catching,传染的
contagious,传染性的