selfish,自私的
snobbish,谄上欺下的
snobbish,势利的
stingy,吝啬的
skimpy,吝啬的
flighty,不负责任的
flighty,轻浮的
valor,勇气
valor,卡洛尔
intrepid,勇敢的
gallant,英勇的
valiant,英勇的
dauntless,勇敢的
undaunted,勇敢的
undaunted,无畏的
daring,勇敢的
daring,大胆的
bold,大胆的
ordeal,严酷的考验
austerity,严峻
severe,严肃的
severe,严重的
serious,严肃的
rigorous,严峻的
rigorous,严厉的
rigor,严厉
rigor,严格
harsh,严厉的
drastic,严厉的
scrupulous,严谨的
scrupulous,一丝不苟的
stringent,迫切的
stringent,严格的
stern,死板的
stern,严格的
rigid,死板的
rigid,严格的
ruthless,冷酷的
ruthless,无情的
relentless,无情的
grim,冷酷的
ascetic,苦行的
ascetic,禁欲主义者
ascetic,苦行者
exacting,严格的
exacting,费力的
acquisitive,贪婪的
acquisitive,贪得无厌的
avaricious,贪得无厌的
avaricious,贪婪的
avarice,贪婪的
greedy,贪婪的
rapacious,贪婪的
ravenous,贪婪的
avid,贪婪的
avid,狂热的
power,能力
power,力量
versatile,多功能的
versatile,多才多艺的
versatile,通用的
ability,能力
mass,质量
disposition,性情
confidence,信心
talent,人才
talent,才能
talent,天才
stamina,精力
stamina,体力
temperament,性情
temperament,气质
quality,品质
caliber,品质
vigor,精力
vigor,伊戈尔...
aptitude,才能
accomplished,熟练的
familiarize,熟悉
facility,工具
facility,熟练
craft,手艺
stunt,惊人的技艺
experienced,有经验的
skillful,熟练的
adept,擅长的
deft,熟练的
deft,灵巧的
flamboyant,浮夸的
flamboyant,华丽的
flamboyant,龙飞凤舞
squander,浪费
squander,挥霍
extravagant,浪费的
extravagant,奢侈的
luxurious,奢侈的
luxurious,豪华的
lavish,浪费的
lavish,奢华的
improvident,浪费的
prodigal,浪费的
prodigal,败家子
stiff,僵硬的
lusty,精力充沛的
lusty,强壮的
hardy,强壮的
robust,强壮的
stocky,粗短的
stocky,结实的
firm,结实的
firm,坚挺的
stout,健壮的
slothful,偷懒的
sloth,懒惰
sloth,怠惰
slug,慢吞吞的人
slug,懒汉
inertia,惰性
inertia,惯性
indolent,懒惰的
sluggish,呆滞的
sanity,神志清楚
meticulously,很仔细的
cautious,谨慎的
cautious,小心的
circumspect,谨慎的
circumspect,慎重的
discretion,慎重
discreet,慎重的
discreet,谨慎的
sober,清醒的
hardheaded,冷静的
hardheaded,脚踏实地的
vigilant,清醒的
vigilant,警惕的
prudent,谨慎的
composure,镇静
composed,沉着的
conservative,保守的
thrift,节约
austerity,节俭
stoically,淡泊的
canny,节俭的
canny,精明的
canny,谨慎的
economical,经济的
economical,节约的
economize,节俭
frugal,节约的
designing,蓄意的
designing,狡猾的
designing,设计的
cunning,狡猾的
sly,狡猾的
crooked,狡诈的
affable,和蔼可亲的
gentility,文雅
gentility,有教养
gregarious,群居的
gregarious,合群的
gracious,仁慈的
gracious,有礼貌的
courteous,谦恭的
courteous,有礼貌的
sociable,友好的
sociable,善交际的
humorous,幽默的
facetious,幽默的
facetious,滑稽的
tractable,温顺的
tractable,易于处理的
meek,柔和的
meek,温顺的
moderate,适度的
moderate,温和的
outspoken,直言不讳的
frank,坦白的
frank,直率的
ductile,球墨铸铁
ductile,驯良的
ductile,柔软的
humane,仁慈的
humane,和蔼的
humane,人性化的
merciful,宽大的
merciful,仁慈的
facile,随和的
facile,轻而易举的
benign,良好的
benign,亲切的
modest,适度的
modest,谦虚的
genial,和蔼的
pitiful,慈悲的
shy,胆小的
shy,害羞的
bashful,胆小的
bashful,害羞的
timid,羞怯的
timid,胆怯的
spineless,没骨气的
brutal,野蛮的
grumpy,脾气暴躁的
rustic,粗俗的
coarse,粗野的
coarse,粗糙的
rugged,粗俗的
rough,粗暴的
gauche,笨拙的
acumen,敏锐
acute,敏锐的
adroit,机巧的
sharpen,使敏锐
tact,机智
tact,老练
capable,有能力的
knowledgeable,知识渊博的
nimble,轻快的
nimble,灵活的
expeditious,敏捷的
expeditious,迅速的
exquisite,灵敏的
exquisite,玲珑
flexible,灵活的
sane,神智清醒的
sane,理智的
sensible,理智的
shrewd,精明的
astute,狡猾的
astute,机敏的
smart,聪明的
intelligent,智能的
intelligent,智能
blunt,粗鲁的
blunt,直率的
imprudent,轻率的
imprudent,不谨慎的
imprudent,鲁莽的
rashly,鲁莽的
rashly,贸然的
impudent,鲁莽的
impudent,厚颜无耻
reckless,鲁莽的
curt,草率的
curt,简短的
curt,生硬的
hoax,愚弄
fatuous,愚昧的
idiotic,愚蠢的
silly,糊涂的
silly,傻的
torpid,不活泼的
torpid,麻痹的
torpid,迟钝的
blunt,使变钝
blunt,迟钝的
inert,迟钝的
inert,惰性的
clumsy,笨拙的
awkward,笨拙的
awkward,尴尬的
mean,卑鄙的
despise,轻视
despise,蔑视
disdain,轻蔑
disdain,蔑视
belittle,轻视
contemn,蔑视
discrimination,歧视
disrespectful,轻视的
disrespectful,无礼的
shameless,无耻的
filthy,卑鄙的
filthy,污秽的
scornful,轻蔑的
menial,卑贱的
menial,奴仆的
ignominious,不光彩的
ignominious,可耻的
contemptible,卑鄙的
despicable,卑鄙的