volcanic,火山的
eruption,火山灰
eruption,火山喷发
outburst,（火山，感情）爆发
erupt,爆发
squirt,喷出
magma,糊剂
magma,岩浆
fault,断层
crust,硬外皮
crust,地壳
layer,层
mantle,披风
mantle,地幔
stratum,地层
cataclysm,灾难
magnitude,震级
seismology,地震学
seismic,地震
earthquake,地震
tremor,颤栗
tremor,震动
plate,金属板
plate,盘子
iceberg,冰山
glacier,冰川
glacial,冰川时代的
diamond,菱形
diamond,钻石
crater,弹坑
core,果心
core,中心
core,核心
aluminum,铝
geology,地质学
petrify,变为化石
fossil,化石
sediment,沉淀
vein,血管
vein,静脉
ore,矿石
mineral,矿产
mineral,矿物
bonanza,成功
bonanza,昌盛
bonanza,富矿带
ruby,红宝石
lava,岩浆
lead,铅
granite,花岗岩
wiikite,杂铌矿
emerald,祖母绿
emerald,翠绿色
emerald,绿宝石
fieldstone,卵石
gem,宝石
marble,大理石
quartz,石英
borehole,炮眼
borehole,钻孔
pit,煤矿
pit,坑
vein,矿脉