menace,威胁
intimidate,恐吓
cower,畏缩
dread,畏惧
dread,恐惧
horror,恐惧
panic,恐慌
terrify,使恐怖
terror,恐怖
fright,恐怖
fright,惊吓
formidable,可怕的
formidable,强大的
cheerless,不愉快的
cheerless,冷冷清清的
dampen,使沮丧
depression,沮丧
depress,使沮丧
dejected,失望的
dejected,垂头丧气
dismal,沮丧的
downcast,垂头丧气
languid,无精打采的
abashed,局促不安的
abashed,羞愧的
tense,紧张的
fluster,使慌乱
strain,紧张
suspense,焦虑
intense,紧张的
concerned,焦虑的
inquisitive,好奇的
curiosity,好奇心
curious,好奇的
ravish,使狂喜
ravish,使陶醉
enrapture,使狂喜
enrapture,称叹
brighten,使快活
brighten,眼前一亮
tingle,耳鸣
tingle,激动
rapture,狂喜
rapture,欢天喜地
bliss,狂喜
excitement,刺激
excitement,兴奋
excitement,激动
ecstasy,恍惚
ecstasy,狂喜
elation,得意洋洋
elation,欢欣鼓舞
pleasure,快感
pleasure,乐趣
pleasing,愉快的
blessed,愉快的
blessed,幸福
exalted,高尚的
exalted,崇高的
joyous,高兴的
joyous,欢乐的
gleeful,欣喜若狂的
brisk,活泼的
brisk,轻快的
exultant,欢腾的
exultant,眉飞色舞的
hilarious,热闹的
hilarious,欢闹的
gorge,塞饱
gorge,峡谷
exhaust,使疲倦
famish,使挨饿
hunger,饥饿
starve,挨饿
intuition,直觉
daze,昏晕
daze,迷迷糊糊的
downhearted,心灰意冷的
beat,疲倦的
listless,无精打采的
ravenous,饿坏了的
faint,昏晕的
sensuous,感觉上的
sensuous,感官的
indefatigable,不知疲倦的
incense,激怒
provoke,挑衅
provoke,激怒
fret,激怒
exasperate,激怒
outrage,侵犯
outrage,愤怒
rage,激怒
rage,愤怒
fury,勃然大怒
touchy,棘手的
touchy,易怒的
passionate,易怒的
passionate,充满激情的
nervous,易激动的
furious,狂暴的
furious,狂怒的
indignant,愤愤不平的
grouchy,发牢骚的
grouchy,不悦的
vex,使烦恼
derange,溃乱
disarrange,扰乱
harass,侵扰
distract,打扰
distract,分散
chafe,烦扰
intrude,侵扰
uproar,喧嚣
uproar,扰乱
sicken,使作呕
sicken,使厌倦
tedious,单调乏味的
boredom,无聊
boredom,烦闷
bothersome,令人烦恼的
boring,令人厌烦的
stodgy,枯燥乏味的
stodgy,不易消化的
impatient,不耐烦的
gloomy,郁闷的
ferocious,凶猛的
malicious,恶毒
malice,恶意
malevolent,恶意的
cruel,残忍的
cruel,残酷的
sinister,险恶的
sinister,不祥的
grim,严峻的
objective,目标
motivation,动机
incentive,动机
incentive,激励
urge,敦促
urge,冲动
impulsive,易冲动的
impulse,刺激
impulse,冲动
impetuous,冲动的
dismay,使惊愕
stun,使目瞪口呆
stun,使昏晕
startle,使大吃一惊
scare,惊吓
petrify,使发呆
trepidation,战战兢兢
tremor,颤抖
striking,惊人的
striking,醒目的
incredible,令人难以置信的
astonished,惊讶的
astonish,使震惊
astound,使惊奇
breathtaking,令人惊叹的
marvelous,了不起的
marvelous,不可思议的
uncanny,离奇的
uncanny,不可思议的
inconceivable,不可思议的
deplore,悲痛
deplore,惋惜
torment,痛苦
torment,折磨
lament,痛惜
lament,悲伤
pensive,哀思的
pensive,沉思的
distressed,痛苦的
miserable,可怜的
miserable,悲惨的
miserable,痛苦的
misery,苦难
misery,痛苦
torturous,折磨
torturous,痛苦的
gloom,忧愁
grieved,伤心的
grieve,悲伤
sentimental,多愁善感的
sentimental,感伤的
trying,痛苦的
trying,难堪的
upset,难过的
doleful,悲哀的
doleful,酸溜溜
bias,偏见
preference,偏爱
arrogance,傲慢
presumptuous,专横的
domineering,盛气凌人的
contemptuous,傲慢的
contemptuous,轻蔑的
fussy,过份挑剔的
insolent,无礼的
insolent,傲慢的
insolent,粗野的
haughty,轻蔑的
haughty,傲慢的
arrogant,傲慢的
overbearing,傲慢的
overbearing,霸道
partial,偏袒的
starfleet,星际舰队
destiny,命运
ounce,盎司
embrace,信奉
interfere,干扰