crystal,结晶
crystal,水晶
condense,凝结
condense,浓缩
hail,冰雹
shower,阵雨
shower,淋浴
tempest,暴风雨
vapor,水蒸气
vapor,汽
droplet,液滴
downpour,瓢泼大雨
dew,露
blizzard,暴风雪
drizzle,下细雨
precipitation,降水
precipitate,凝结（形成雨、雪）
fog,迷雾
fog,雾
smog,烟雾
funnel,漏斗云
funnel,漏斗
current,气流
troposphere,对流层
meteorology,气象学
tornado,龙卷风
typhoon,台风
whirlwind,旋风
blast,疾风
breeze,微风
barometer,气压计
barometer,晴雨表
climate,气氛
climate,气候
atmosphere,大气层
hurricane,飓风
gale,大风
tepid,微温的
tepid,不温不火
serene,晴朗的
frigid,寒冷的
chill,使变冷
chill,寒冷
chilly,寒冷的
arid,干旱的
drought,干旱
saturate,使充满
saturate,浸透
saturate,使饱和
moisture,湿气
dank,阴湿的
damp,潮湿的
humidity,湿度
humid,潮湿的
balmy,温和的
balmy,芳香