organ,器官
protein,蛋白质
glucose,葡萄糖
carbohydrate,碳水化合物
carbohydrate,糖类
calorie,卡路里
microscope,显微镜
morphology,形态学
metabolism,新陈代谢
metabolism,代谢
immunity,免疫力
immunity,抵抗力
immune,免疫的
assimilate,同化
assimilate,吸收
secretion,分泌
secrete,分泌
stodgy,不易消化的
stodgy,油腻的
respiration,呼吸
fermentation,发酵
posterity,后代
exist,生存
subsist,生存
propagate,传播
propagate,繁殖
proliferate,繁衍
reproduction,繁殖
breed,饲养
breed,品种
extinction,灭绝
extinct,灭绝的
Darwinism,达尔文进化论
Darwinism,达尔文学说
evolutionary,进化的
evolutionary,发展的
evolve,进化
evolve,发展
ripe,成熟的
vital,活体的
vital,活的
species,物种
strain,（动物，昆虫）种
organism,生物
organism,有机体
creature,生物
symbiotic,共生的
symbiosis,共生关系
symbiosis,合作关系
mimicry,拟态
mimicry,模仿
parasitic,寄生的
parasite,寄生物