revenue,收入
fund,资金
fund,投资
fund,基金
debt,债务
means,钱
interest,利息
bonus,红利
bonus,奖金
custom,进口税
bond,债券
toll,鸣（钟）
charge,收费
charge,费用
ransom,赔偿金
ransom,赎金
commission,佣金
deposit,押金
deposit,放置
deposit,存款
purchase,采购
barter,物物交换
choice,选择
choose,选择
patronage,资助
patronage,赞助
budget,做预算
budget,预算
transaction,交易
lottery,彩票
lottery,抽奖
contract,契约
contract,合同
benefit,利益
opportunity,机会
goods,货物
output,输出的
output,产量
economics,经济学
option,取舍
option,选择
selection,选择
utility,效用
refund,退还
refund,偿还借款
loan,借款
loan,贷款
consolidate,巩固
consolidate,合并
assess,估计
exchange,兑换
exchange,交换
underestimate,低估
garner,储存
reimburse,偿还
merge,合并
depreciate,贬值
coin,铸币
check,支票
bill,钞票
bill,帐单
collateral,抵押品
savings,储蓄
bankruptcy,破产
account,帐户
residue,残留
surplus,剩余
surplus,过剩
shipment,出货
shipment,装船
audit,查帐
audit,审查
discount,打折扣
inertia,惯量
inertia,惯性
acting,代理的
disburse,分配
disburse,支付
disburse,支出
consume,消费
consume,消耗
cause,事业
yen,日元
deal,交易
inflation,通货膨胀
tariff,关税
quota,定额
quota,限额
inventory,清单
inventory,库存
currency,市价
currency,通用
currency,通货
currency,货币
enterprise,事业
enterprise,企业
commerce,商业
merchandise,商品
rebate,回扣
rebate,返回款
rebate,折扣
ration,配给量
ration,定量
levy,征收
levy,课税
deficit,赤字
compensation,赔偿
compensation,补偿
redress,补偿
lease,出租
exponent,指数
drawback,退款
bidding,投标
penury,贫穷
depression,萧条
indigent,贫困
finance,资助
economic,经济
finance,财政
opulence,富裕
fortune,财富
asset,财富
rare,珍贵的
rare,稀有
rich,肥沃的
prosperity,繁荣
prosperous,繁荣
precious,珍贵
toll,费