coin,创造
abridge,删节
abridge,缩写
abstraction,摘要
abstract,提炼
abstract,摘要
excerpt,摘录
adaptation,修改
adaptation,改编
adaptable,可修改的
adaptable,适应能力强
adapt,改编
paraphrase,改写
paraphrase,意译
emend,校订
entitle,题名为
compile,收集
compile,编纂
synopsis,大纲
synopsis,梗概
adage,格言
adage,谚语
farce,闹剧
satire,讽刺作品
maxim,箴言
maxim,格言
term,术语
fable,寓言
byword,谚语
fiction,小说
verse,韵文
verse,诗
lyric,歌词
slogan,标语
slogan,口号
tag,附加语
tag,标签
genre,体裁
genre,风格
version,说法
version,版本
tense,时态
phonetics,发音学
linguistics,语言学
clause,子句
clause,条款
dialect,方言
glossary,词汇表
character,文字
persuasive,有说服力的
cogent,强有力的
cogent,有说服力的
cogent,切实
fluent,流利的
succinct,简洁的
concise,简洁的
implicit,含蓄的